Group,Subject,EEG Band,Lemon Power,Rose Power,Difference (Rose - Lemon)
Normal,1,Delta (1–4 Hz),32396.194553656565,92023.32620973841,59627.13165608185
Normal,1,Theta (4–8 Hz),14739.847466581801,10774.271191600244,-3965.5762749815567
Normal,1,Alpha (8–13 Hz),4677.665729476338,1960.0247152412269,-2717.6410142351115
Normal,1,Beta (13–30 Hz),1757.7496134429307,268.7066740024302,-1489.0429394405005
Normal,1,Gamma (30–40 Hz),365.32007190828307,6.063749764022207,-359.2563221442609
Normal,2,Delta (1–4 Hz),1066.5376684308621,51.15912328180363,-1015.3785451490585
Normal,2,Theta (4–8 Hz),120.83826504950162,16.62990080797965,-104.20836424152196
Normal,2,Alpha (8–13 Hz),11.238172587173361,7.760005363075029,-3.478167224098332
Normal,2,Beta (13–30 Hz),3.3888045976771735,2.963236444255588,-0.4255681534215854
Normal,2,Gamma (30–40 Hz),0.8668347107950887,0.8785600874744989,0.011725376679410204
Normal,3,Delta (1–4 Hz),2097270.5475077634,224707.0735922881,-1872563.4739154752
Normal,3,Theta (4–8 Hz),100513.26076713768,7062.185685677017,-93451.07508146066
Normal,3,Alpha (8–13 Hz),14767.517097225751,928.5472234329476,-13838.969873792803
Normal,3,Beta (13–30 Hz),1393.7653871859688,68.88539915493672,-1324.879988031032
Normal,3,Gamma (30–40 Hz),306.8632971955502,4.287215004601592,-302.5760821909486
Normal,4,Delta (1–4 Hz),3018.9398710333016,2977.4361061616682,-41.50376487163339
Normal,4,Theta (4–8 Hz),1385.4770478582834,1419.7250137657347,34.24796590745132
Normal,4,Alpha (8–13 Hz),1162.9620392509876,1268.5140606768805,105.55202142589292
Normal,4,Beta (13–30 Hz),735.3715211834598,590.3990760898728,-144.972445093587
Normal,4,Gamma (30–40 Hz),365.4270632155852,249.61306419660738,-115.8139990189778
Normal,5,Delta (1–4 Hz),3480.072083975145,792.5905977684786,-2687.481486206666
Normal,5,Theta (4–8 Hz),740.551383153197,349.0107270778719,-391.5406560753251
Normal,5,Alpha (8–13 Hz),268.65708463816384,180.6442224434965,-88.01286219466735
Normal,5,Beta (13–30 Hz),125.30541949635828,131.15924380992237,5.85382431356409
Normal,5,Gamma (30–40 Hz),42.04260086608869,48.702507106235075,6.659906240146384
Normal,6,Delta (1–4 Hz),57167.2164457154,75741.54888250158,18574.33243678618
Normal,6,Theta (4–8 Hz),4312.240306857165,3652.022512749344,-660.2177941078207
Normal,6,Alpha (8–13 Hz),346.82998319436797,188.37354039060563,-158.45644280376234
Normal,6,Beta (13–30 Hz),24.819806030585053,14.38805746482478,-10.431748565760273
Normal,6,Gamma (30–40 Hz),0.791445859508497,0.40007808899762753,-0.39136777051086946
Normal,7,Delta (1–4 Hz),383817.69847071555,174584.36533667136,-209233.3331340442
Normal,7,Theta (4–8 Hz),13314.242197246675,15657.419604129998,2343.177406883324
Normal,7,Alpha (8–13 Hz),776.759979497414,1152.4595207438638,375.6995412464498
Normal,7,Beta (13–30 Hz),47.2443380536897,79.66465421654325,32.42031616285355
Normal,7,Gamma (30–40 Hz),3.828778835398647,9.076090854913208,5.247312019514561
Normal,8,Delta (1–4 Hz),11.663664765460767,15.405077073967824,3.7414123085070567
Normal,8,Theta (4–8 Hz),1.0371476246333518,0.9132012234494651,-0.12394640118388667
Normal,8,Alpha (8–13 Hz),0.09193372763821497,0.08283744202051382,-0.00909628561770115
Normal,8,Beta (13–30 Hz),0.02955716329016463,0.03093009121918047,0.0013729279290158394
Normal,8,Gamma (30–40 Hz),0.008123923750584289,0.008265724013047789,0.0001418002624634998
Normal,9,Delta (1–4 Hz),30941.040463331272,2192880.7246455867,2161939.6841822555
Normal,9,Theta (4–8 Hz),2958.6794997908496,20528.718326479615,17570.038826688764
Normal,9,Alpha (8–13 Hz),338.96276549764923,1684.239948695472,1345.277183197823
Normal,9,Beta (13–30 Hz),35.6852492081169,81.35377282803522,45.66852361991832
Normal,9,Gamma (30–40 Hz),1.0799724024381552,7.941125341912088,6.861152939473933
Normal,10,Delta (1–4 Hz),1693027.7289973993,243783.43424354188,-1449244.2947538574
Normal,10,Theta (4–8 Hz),672196.5097318725,13970.571843686044,-658225.9378881864
Normal,10,Alpha (8–13 Hz),432865.48777022836,16104.31833084977,-416761.1694393786
Normal,10,Beta (13–30 Hz),40097.00397207389,3119.7905943665514,-36977.21337770734
